Number_Plate,Vehicle_Type,Model,Part_Name,Category,Supplier,Purchase_Cost,Service_Date,Issue_Reported,Service_Type,Fuel_Consumed_Litres,Distance_Covered_KM,Insurance_Cost,Cost_of_Ownership
KTCB 778C,Tractor,TS 6000,Fuel Pump,Fuel System,AutoGen_5,11251.74,23-08-24,Overheating,Emergency,69.99,404.08,15186.42,41568.61
KTCA 872A,Tractor,TS 6110,Alternator,Electrical,AutoGen_6,10924.65,21-10-24,No power output,Emergency,20.42,585.6,15186.28,38580.2
KTCA 815C,Tractor,TS 6000,Spark Plug,Ignition,AutoGen_5,8487.98,02-04-25,Engine noise,Emergency,191.99,1348.95,21796.68,44395.46
KTCC 950G,Tractor,TT 490,Spark Plug,Ignition,AutoGen_6,5463.54,21-11-24,Low power,Emergency,175.98,724.84,19230.97,37433.96
KTCB 694B,Tractor,TS 6110,Tyre,Wheels,JKT,10041.73,26-07-24,Tyre burst,Preventive,152.44,613.96,9572.26,39613.05
KTCC 647E,Tractor,TS 6000,Battery,Electrical,AutoGen_4,14339.55,07-07-24,Low voltage,Breakdown,136.86,1698.51,18948.29,49540
KTCB 628E,Tractor,"WINCH (VALTRA, SAME)",Battery,Electrical,AutoGen_4,14993.1,07-02-25,Won't start,Breakdown,93.07,1389.78,8826.42,30511.93
KTCC 180D,Tractor,"WINCH (VALTRA, SAME)",Hydraulic Pump,Hydraulics,AutoGen_2,13840.23,03-05-25,Fluid leakage,Emergency,11.04,1989.97,5611.37,36693.79
KTCC 907D,Tractor,TS 6000,Hydraulic Pump,Hydraulics,AutoGen_2,12254.01,04-12-24,Hydraulic issue,Breakdown,101.54,1980.92,14001.08,32827.44
KTCC 764C,Tractor,TS 6000,Spark Plug,Ignition,AutoGen_6,3411.69,22-12-24,Low power,Corrective,138.15,1292.89,11356.88,23682.96
KTCA 511F,Tractor,"WINCH (VALTRA, SAME)",Air Filter,Air Intake,AutoGen_6,14742.16,02-04-25,Reduced air intake,Corrective,133.74,1202.6,19576.05,42042.36
KTCC 720F,Tractor,TS 6000,Battery,Electrical,AutoGen_10,8488.52,07-02-25,Won't start,Preventive,147.1,1957.7,26134.98,49055.18
KTCC 441H,Tractor,TS 6110,Fuel Pump,Fuel System,AutoGen_9,7864.56,06-12-24,Low power,Emergency,32.75,1025.53,25129.27,49373.82
KTCB 192E,Tractor,"WINCH (VALTRA, SAME)",Spark Plug,Ignition,JKT,13395.92,27-07-24,Low power,Preventive,29.66,987.94,19394.92,48980.99
KTCA 331G,Tractor,TS 6110,Oil Filter,Engine,JKT,4827.91,03-10-24,Oil leakage,Breakdown,67.31,539.29,7865.01,24157.57
KTCA 852D,Tractor,"WINCH (VALTRA, SAME)",Battery,Electrical,AutoGen_5,1974.22,26-12-24,Won't start,Emergency,76.98,1592.3,19648.99,30839.53
KTCA 521D,Tractor,"WINCH (VALTRA, SAME)",Radiator,Cooling System,AutoGen_3,12247.96,03-05-25,Coolant leakage,Preventive,173.76,1596.6,26272.04,47251.67
KTCC 266E,Tractor,TT 490,Oil Filter,Engine,AutoGen_4,6633.8,02-06-25,Oil leakage,Preventive,40.3,1344.77,20279.42,41416.67
KTCC 924C,Tractor,TS 6110,Spark Plug,Ignition,AutoGen_3,10118.31,09-03-25,Engine noise,Breakdown,121.17,1093.11,6294.9,34938.22
KTCC 392G,Tractor,TS 6110,Oil Filter,Engine,JKT,8813.64,14-07-24,Oil leakage,Breakdown,80.88,1053.52,26154.75,50700.78
KTCB 908E,Tractor,TT 490,Fuel Pump,Fuel System,AutoGen_2,8164.15,22-02-25,Low power,Emergency,139.2,1429.44,18920.6,35964.64
KTCB 222A,Tractor,"WINCH (VALTRA, SAME)",Air Filter,Air Intake,AutoGen_6,9918.17,05-09-24,Clogged filter,Preventive,104.11,144.09,16123.47,33915.27
KTCC 669G,Tractor,TS 6000,Alternator,Electrical,AutoGen_7,2849.67,25-12-24,Overcharging,Emergency,179.57,417.04,7297.29,19729.87
KTCA 608G,Tractor,TT 490,Radiator,Cooling System,AutoGen_2,14379.25,21-10-24,Overheating,Emergency,31.34,582.25,6922.4,35528.42
KTCB 866D,Tractor,TS 6110,Tyre,Wheels,JKT,14661.28,10-04-25,New tyre,Emergency,84.05,706.44,7026.04,30235.48
KTCB 770D,Tractor,TS 6000,Battery,Electrical,AutoGen_9,7542.45,17-08-24,Won't start,Breakdown,73.46,1651.87,24979.34,46271.36
KTCB 984D,Tractor,TS 6000,Alternator,Electrical,AutoGen_7,11096.12,07-10-24,Electrical failure,Emergency,129.82,200.58,5331.5,26129.96
KTCC 748A,Tractor,TS 6110,Oil Filter,Engine,AutoGen_2,14668.75,19-10-24,Oil leakage,Emergency,151.67,609.17,18431.29,45997.73
KTCC 280B,Tractor,TT 490,Tyre,Wheels,JKT,6757.99,01-08-24,New tyre,Corrective,30.65,1432.25,24834.62,44072.93
KTCC 302B,Tractor,TS 6000,Air Filter,Air Intake,AutoGen_7,10380.11,10-03-25,Clogged filter,Preventive,67,1086.39,18135.93,38300.99
KTCC 933F,Tractor,TS 6110,Brake Pads,Braking System,AutoGen_5,7876.85,16-03-25,Hydraulic issue,Breakdown,98.26,446.68,27161.83,46560.8
KTCB 108B,Tractor,TS 6110,Brake Pads,Braking System,AutoGen_6,6937.27,05-03-25,Engine noise,Breakdown,96.56,325.83,7386.36,24214.89
KTCA 189E,Tractor,TT 490,Fuel Pump,Fuel System,AutoGen_6,6908.01,30-12-24,Overheating,Preventive,188.63,1698.02,12944.73,26521.24
KTCB 308A,Tractor,TT 490,Tyre,Wheels,JKT,7108.13,05-02-25,Tyre burst,Preventive,145.39,287.67,25775.67,38743.22
KTCB 202C,Tractor,TS 6110,Oil Filter,Engine,AutoGen_1,2657.83,16-03-25,Oil leakage,Preventive,93.61,1606.44,22910.4,41837.86
KTCC 525E,Tractor,TS 6000,Alternator,Electrical,AutoGen_7,11383.83,07-11-24,No power output,Breakdown,157.77,809.11,6178.85,23339.36
KTCC 823A,Tractor,TS 6000,Radiator,Cooling System,AutoGen_4,8797.98,27-07-24,Coolant leakage,Preventive,64.75,164.81,13952.78,41065.73
KTCC 434H,Tractor,"WINCH (VALTRA, SAME)",Spark Plug,Ignition,AutoGen_8,8387.27,16-11-24,Low power,Breakdown,94.31,1967.95,10661.88,35931.13
KTCB 651D,Tractor,TS 6000,Radiator,Cooling System,AutoGen_2,5023.83,14-05-25,Overheating,Breakdown,17.82,603.95,19825,35462.03
KTCA 127G,Tractor,TS 6110,Battery,Electrical,AutoGen_10,2028.27,15-02-25,Low voltage,Breakdown,134.01,1221.19,19449.59,28500.6
KTCA 318G,Tractor,TT 490,Brake Pads,Braking System,AutoGen_8,12669.31,05-05-25,Low power,Corrective,139.02,1691.59,8044.3,33540.17
KTCB 182H,Tractor,TS 6110,Tyre,Wheels,JKT,5094.98,22-03-25,Tyre burst,Preventive,51.76,1419.46,24064.7,38511.78
KTCB 856E,Tractor,TS 6000,Air Filter,Air Intake,AutoGen_2,9523.53,23-06-24,Reduced air intake,Emergency,104.53,1246.44,11044.45,29560.2
KTCB 409H,Tractor,TT 490,Brake Pads,Braking System,AutoGen_10,6739.55,08-05-25,Hydraulic issue,Preventive,85.35,526.91,24205.78,36044.46
KTCA 975F,Tractor,"WINCH (VALTRA, SAME)",Alternator,Electrical,AutoGen_8,3879.8,16-06-25,Overcharging,Preventive,31.04,1587.65,23779.03,38139.53
KTCC 530A,Tractor,TS 6110,Battery,Electrical,AutoGen_3,4248.39,14-12-24,Won't start,Breakdown,145.15,764.94,22148.52,44012.26
KTCB 944G,Tractor,TT 490,Oil Filter,Engine,AutoGen_10,3582.57,19-02-25,Reduced engine performance,Emergency,132.32,1712.45,26294.83,45730.02
KTCB 168H,Tractor,TS 6000,Hydraulic Pump,Hydraulics,AutoGen_9,11655.26,18-06-25,Fluid leakage,Preventive,169.08,431.08,5810.24,26386.34
KTCA 689B,Tractor,TS 6110,Spark Plug,Ignition,AutoGen_2,6295.13,23-11-24,Engine noise,Corrective,82.64,1187.39,21781.33,34288.89
KTCB 559H,Tractor,TT 490,Air Filter,Air Intake,AutoGen_10,8846.27,25-06-24,Clogged filter,Emergency,95.76,1124.61,15169.53,29056.87
KTCC 143A,Tractor,TS 6110,Fuel Pump,Fuel System,AutoGen_7,9637.28,18-09-24,Hydraulic issue,Breakdown,124.04,1426.21,23912.5,49864.87
KTCB 491B,Tractor,"WINCH (VALTRA, SAME)",Alternator,Electrical,AutoGen_9,11416.6,02-02-25,Overcharging,Emergency,168.96,728.23,25058.74,44047.72
KTCA 401H,Tractor,TS 6110,Tyre,Wheels,JKT,6407.84,24-01-25,Tyre burst,Preventive,198.31,386.36,6708.19,18773.54
KTCB 676B,Tractor,TT 490,Oil Filter,Engine,AutoGen_2,10223.26,04-10-24,Reduced engine performance,Emergency,56.85,230.43,6134.25,23946.45
KTCB 185H,Tractor,"WINCH (VALTRA, SAME)",Air Filter,Air Intake,AutoGen_7,4340.05,03-08-24,Clogged filter,Corrective,22.19,1043.55,24201.63,35841.88
KTCB 146A,Tractor,"WINCH (VALTRA, SAME)",Alternator,Electrical,AutoGen_3,9603.39,03-03-25,Electrical failure,Breakdown,168.09,365.17,8251.34,35614.11
KTCB 344B,Tractor,TS 6000,Alternator,Electrical,AutoGen_9,1990.72,20-12-24,Overcharging,Preventive,188.72,867.66,21029.46,37827.78
KTCB 494D,Tractor,TT 490,Spark Plug,Ignition,AutoGen_3,9798.7,23-07-24,Overheating,Emergency,63,1489.61,13001.63,30478.88
KTCC 691F,Tractor,TT 490,Fuel Pump,Fuel System,AutoGen_5,2379.77,18-11-24,Overheating,Corrective,31.04,1889.08,23688.88,41527.44
KTCA 645G,Tractor,TS 6110,Hydraulic Pump,Hydraulics,AutoGen_8,4972.1,30-01-25,Hydraulic issue,Emergency,146.77,524.67,5829.57,20519.21
KTCA 941G,Tractor,"WINCH (VALTRA, SAME)",Fuel Pump,Fuel System,AutoGen_5,8898.56,23-02-25,Overheating,Emergency,88.69,275.67,28283.99,46222.77
KTCB 822D,Tractor,TS 6000,Alternator,Electrical,AutoGen_2,8219.84,01-07-24,No power output,Emergency,180.81,1902.66,16447.09,37691.24
KTCB 569F,Tractor,TS 6000,Hydraulic Pump,Hydraulics,AutoGen_8,11055.2,20-08-24,Low pressure,Corrective,166.5,936.76,22193.56,50952.69
KTCA 481C,Tractor,TT 490,Spark Plug,Ignition,AutoGen_5,14182.84,28-07-24,Low power,Emergency,90.46,856.93,27768.86,51312.53
KTCB 215A,Tractor,TS 6000,Battery,Electrical,AutoGen_2,14164.5,17-05-25,Battery issue,Breakdown,54.33,230.95,20980.63,45965.51
KTCC 740F,Tractor,TS 6000,Hydraulic Pump,Hydraulics,AutoGen_7,3038.33,07-08-24,Low pressure,Breakdown,109.07,1923.29,24274.41,40528.85
KTCC 808E,Tractor,TS 6110,Radiator,Cooling System,AutoGen_9,8733.93,18-03-25,Overheating,Emergency,15.26,903.28,9470.48,35097.06
KTCA 698D,Tractor,TS 6110,Fuel Pump,Fuel System,AutoGen_2,8382.2,25-08-24,Overheating,Preventive,13.6,1281.29,23392.64,37312.14
KTCC 396B,Tractor,TT 490,Alternator,Electrical,AutoGen_3,10452.31,10-07-24,Overcharging,Emergency,22.45,444.18,11678.12,28239.53
KTCA 640G,Tractor,TT 490,Radiator,Cooling System,AutoGen_1,9781.63,21-06-24,Coolant leakage,Preventive,16.22,1078.45,11183.9,31102.97
KTCC 372C,Tractor,TT 490,Battery,Electrical,AutoGen_6,5487.14,20-12-24,Battery issue,Corrective,127.53,1829.66,16645.96,39548.71
KTCA 212D,Tractor,TS 6000,Air Filter,Air Intake,AutoGen_7,1544.84,05-06-25,Clogged filter,Emergency,100.76,107.49,17068.03,38207.37
KTCC 815B,Tractor,TS 6110,Hydraulic Pump,Hydraulics,AutoGen_9,12818.57,13-07-24,Fluid leakage,Breakdown,30.78,1878.38,5560.04,23504.41
KTCB 421C,Tractor,TS 6110,Brake Pads,Braking System,JKT,9529.78,24-10-24,Low power,Preventive,10.61,1630.46,25650.41,51090.42
KTCA 372E,Tractor,TS 6000,Battery,Electrical,AutoGen_5,2421.82,02-05-25,Low voltage,Corrective,17.23,1313.8,10082.33,18924.67
KTCC 213D,Tractor,"WINCH (VALTRA, SAME)",Alternator,Electrical,AutoGen_7,8745.78,24-09-24,Electrical failure,Breakdown,146.89,1169.44,15703.37,34020.08
KTCC 963H,Tractor,TS 6000,Alternator,Electrical,AutoGen_8,12265.72,27-08-24,Overcharging,Breakdown,196.17,1119.49,29335.52,58834.14
KTCB 397H,Tractor,TT 490,Battery,Electrical,AutoGen_3,12644.79,23-07-24,Low voltage,Preventive,134.72,1351.17,27031.1,53411.97
KTCC 275F,Tractor,"WINCH (VALTRA, SAME)",Oil Filter,Engine,AutoGen_8,7844.82,18-02-25,Reduced engine performance,Preventive,185.01,1987.62,6688.83,19928
KTCA 259D,Tractor,"WINCH (VALTRA, SAME)",Oil Filter,Engine,JKT,5025.47,31-03-25,Oil leakage,Emergency,171.1,1846.63,9832.56,28641.32
KTCA 336G,Tractor,"WINCH (VALTRA, SAME)",Air Filter,Air Intake,AutoGen_2,4948.19,19-02-25,Clogged filter,Emergency,173.81,1771.5,23750.69,47238.09
KTCB 476E,Tractor,TS 6000,Oil Filter,Engine,AutoGen_3,10488.22,22-10-24,Reduced engine performance,Corrective,141.65,533.38,23706.17,41478.12
KTCA 683E,Tractor,"WINCH (VALTRA, SAME)",Air Filter,Air Intake,AutoGen_7,10956.27,25-01-25,Clogged filter,Corrective,193.58,630.8,20942.61,50366.37
KTCA 899B,Tractor,"WINCH (VALTRA, SAME)",Oil Filter,Engine,AutoGen_1,7637.46,15-05-25,Reduced engine performance,Preventive,68.21,254.26,14116.63,36825.21
KTCB 803H,Tractor,TS 6110,Air Filter,Air Intake,AutoGen_3,13318.97,22-03-25,Clogged filter,Corrective,173.81,1445.53,27084.58,50441.96
KTCC 554B,Tractor,TS 6110,Air Filter,Air Intake,AutoGen_5,8557.27,05-12-24,Clogged filter,Corrective,79.42,392.23,18361.9,33879.85
KTCC 957A,Tractor,TT 490,Alternator,Electrical,AutoGen_10,13164.58,04-05-25,Electrical failure,Preventive,163.99,885.41,8882.48,30369.13
KTCC 228C,Tractor,"WINCH (VALTRA, SAME)",Battery,Electrical,JKT,5716.39,11-08-24,Won't start,Emergency,186.02,706.79,14781.79,26073.79
KTCA 258A,Tractor,TT 490,Battery,Electrical,AutoGen_2,11924.64,11-01-25,Battery issue,Preventive,45.4,598.58,29261.01,53168.56
KTCB 138D,Tractor,TT 490,Oil Filter,Engine,AutoGen_5,11347.31,04-12-24,Oil leakage,Corrective,170.82,652.84,12720.18,39590.43
KTCA 857B,Tractor,TS 6110,Tyre,Wheels,JKT,3060.09,26-07-24,New tyre,Preventive,123.45,1510.81,20412.79,29925.51
KTCA 865G,Tractor,TS 6000,Radiator,Cooling System,AutoGen_2,12765.54,11-09-24,Coolant leakage,Corrective,185.98,1984.17,9740.91,36821.15
KTCB 544A,Tractor,"WINCH (VALTRA, SAME)",Battery,Electrical,AutoGen_9,12272.83,28-05-25,Battery issue,Preventive,127.64,1037.16,21247.25,46914.24
KTCC 447E,Tractor,TT 490,Fuel Pump,Fuel System,AutoGen_8,12189.04,22-06-24,Low power,Preventive,185.56,717.32,16708.82,44434.12
KTCB 289A,Tractor,TS 6000,Battery,Electrical,AutoGen_7,7162.99,01-04-25,Low voltage,Preventive,179.72,1737.56,17798.01,39205.7
KTCC 146D,Tractor,TS 6000,Fuel Pump,Fuel System,AutoGen_6,13785.78,19-07-24,Hydraulic issue,Preventive,128.87,1284.25,13726.17,39364.7
KTCC 985G,Tractor,TS 6110,Fuel Pump,Fuel System,AutoGen_5,12870.39,11-12-24,Low power,Preventive,85.47,228.16,13421.38,40275
KTCA 346C,Tractor,TT 490,Battery,Electrical,AutoGen_2,5291.88,29-07-24,Low voltage,Breakdown,73.71,893.91,18467.1,34196.16
KTCC 722C,Tractor,"WINCH (VALTRA, SAME)",Alternator,Electrical,AutoGen_1,4385.71,15-04-25,Overcharging,Breakdown,37.25,528.06,14520.11,34644.21
KTCB 308A,Tractor,TS 6110,Battery,Electrical,AutoGen_4,4422.25,25-11-24,Battery issue,Breakdown,77.42,1286,19692.03,37874.41
KTCB 350E,Tractor,"WINCH (VALTRA, SAME)",Fuel Pump,Fuel System,AutoGen_2,5271.5,20-04-25,Engine noise,Preventive,40.4,166.58,10312.68,28683.67
KTCB 104E,Tractor,TS 6110,Brake Pads,Braking System,AutoGen_10,2843.8,09-05-25,Engine noise,Emergency,177.55,305.17,7597.46,22590.2
KTCC 329E,Tractor,TS 6000,Brake Pads,Braking System,AutoGen_6,14826.46,08-05-25,Engine noise,Breakdown,33.03,1222.62,7523.2,36720.53
KTCB 414A,Tractor,TT 490,Fuel Pump,Fuel System,AutoGen_6,6800.73,10-08-24,Hydraulic issue,Emergency,122.12,1793.72,25640.32,43639.15
KTCC 120G,Tractor,TS 6000,Brake Pads,Braking System,AutoGen_5,10861.97,29-11-24,Hydraulic issue,Preventive,17.71,1319.24,25648.43,48746.5
KTCB 838D,Tractor,TT 490,Oil Filter,Engine,AutoGen_5,12300.69,16-06-25,Oil leakage,Breakdown,124.84,466.56,14483.9,33513.28
KTCB 826F,Tractor,TT 490,Hydraulic Pump,Hydraulics,JKT,5117.83,08-01-25,Fluid leakage,Preventive,88.3,975.36,11678.36,32523.1
KTCB 883F,Tractor,TS 6110,Air Filter,Air Intake,AutoGen_5,5295.84,03-03-25,Reduced air intake,Corrective,126.9,487.29,12174,29923.95
KTCA 731B,Tractor,"WINCH (VALTRA, SAME)",Alternator,Electrical,JKT,2537.71,28-02-25,No power output,Corrective,66.78,1288.32,8807.94,23380.82
KTCA 266C,Tractor,TS 6110,Battery,Electrical,AutoGen_7,1939.62,03-12-24,Low voltage,Corrective,95.1,1575.73,14191.85,26931.24
KTCA 511D,Tractor,TT 490,Brake Pads,Braking System,AutoGen_7,14426.01,04-02-25,Hydraulic issue,Breakdown,196.4,972.9,20373.74,41946.48
KTCA 300H,Tractor,TS 6000,Spark Plug,Ignition,AutoGen_3,14060.69,13-02-25,Low power,Corrective,198.82,1864.54,25544.25,59024.93
KTCC 506B,Tractor,"WINCH (VALTRA, SAME)",Battery,Electrical,AutoGen_7,8455.46,06-06-25,Low voltage,Corrective,176.69,1616,7716.95,31133.93
KTCA 494B,Tractor,"WINCH (VALTRA, SAME)",Air Filter,Air Intake,AutoGen_6,2266.8,17-03-25,Reduced air intake,Preventive,123.55,437.51,24549.84,32741.21
KTCA 885F,Tractor,TS 6110,Fuel Pump,Fuel System,AutoGen_9,9364.85,20-01-25,Engine noise,Preventive,89.27,787.11,12952.76,34433.66
