Number_Plate,Vehicle_Type,Model,Part_Name,Category,Supplier,Purchase_Cost,Service_Date,Issue_Reported,Service_Type,Fuel_Consumed_Litres,Distance_Covered_KM,Insurance_Cost,Cost_of_Ownership,REG. NO.,Type_of_Service
KTCC 632G,Tractor,TS 6000,Fuel Pump,Fuel System,JKT,7156.1,02/02/2025,Engine noise,Emergency,449.15,1461.8,23733.21,39162.29,,Major Service
KTCA 986H,Tractor,TS 6110,Fuel Pump,Fuel System,AutoGen_9,8832.46,09/26/2024,Low power,Breakdown,459.03,1439.88,17852.87,35410.19,,Minor Service
KTCC 792G,Tractor,TS 6000,Fuel Pump,Fuel System,AutoGen_8,8557.42,04/04/2025,Hydraulic issue,Breakdown,135.35,543.75,6087.37,25903.19,,Minor Service
KTCA 467B,Tractor,TS 6110,Spark Plug,Ignition,AutoGen_2,5493.3,04/26/2025,Engine noise,Preventive,343.91,1488.99,11717.76,26837.8,,Major Service
KTCC 292A,Tractor,TS 6000,Fuel Pump,Fuel System,AutoGen_10,3797.2,12/23/2024,Hydraulic issue,Corrective,258.18,1108.39,29942.5,38860.31,,Minor Service
KTCC 808B,Tractor,TS 6110,Spark Plug,Ignition,AutoGen_6,13540.25,02/28/2025,Engine noise,Preventive,390.25,1631.17,21507.11,40861.52,,Major Service
KTCC 349H,Tractor,TT 490,Fuel Pump,Fuel System,JKT,2938.01,11/09/2024,Overheating,Preventive,197.53,930.93,21927.14,42557.89,,Minor Service
KTCA 245F,Tractor,TS 6110,Spark Plug,Ignition,AutoGen_3,3522.87,08/24/2024,Overheating,Preventive,176.93,724.47,23185.5,31800.59,,Minor Service
KTCC 773E,Tractor,TT 490,Brake Pads,Braking System,AutoGen_9,11999.55,04/01/2025,Low power,Emergency,244.17,917.94,16252.64,45939.95,,Minor Service
KTCA 866D,Tractor,TT 490,Tyre,Wheels,JKT,9253.06,05/17/2025,Puncture,Emergency,201.03,957.87,26764.64,53985.43,,Minor Service
KTCB 494C,Tractor,TS 6000,Air Filter,Air Intake,AutoGen_2,2399.9,11/01/2025,Clogged filter,Breakdown,281.45,1216.85,16349.44,37880.14,,Minor Service
KTCA 939D,Tractor,TS 6110,Radiator,Cooling System,AutoGen_9,11349.55,01/30/2025,Overheating,Emergency,337.74,1439.56,14464.87,34428.14,,Minor Service
KTCA 725G,Tractor,TT 490,Oil Filter,Engine,AutoGen_10,5527.65,11/16/2024,Reduced engine performance,Emergency,347.77,1309.66,17894.71,36752.74,,Major Service
KTCB 425H,Tractor,TS 6110,Spark Plug,Ignition,AutoGen_7,10754.95,11/16/2024,Hydraulic issue,Emergency,402.97,1933.65,21893.64,38347.17,,Minor Service
KTCC 571B,Tractor,TS 6110,Hydraulic Pump,Hydraulics,AutoGen_7,6935.92,12/16/2024,Low pressure,Emergency,358.99,1157.09,22887.2,40776.85,,Minor Service
KTCA 821F,Tractor,TS 6110,Air Filter,Air Intake,AutoGen_2,9466.15,09/28/2024,Clogged filter,Corrective,62.31,262.82,22496.43,49629.25,,Minor Service
KTCC 928G,Tractor,TT 490,Battery,Electrical,AutoGen_7,4882.27,05/28/2025,Low voltage,Emergency,118.94,507.76,19294.36,41770.86,,Minor Service
KTCB 123A,Tractor,TS 6000,Tyre,Wheels,JKT,8920.22,07/24/2024,Tyre burst,Preventive,127.85,454.24,21889.14,38256.5,,Minor Service
KTCA 289F,Tractor,TS 6000,Spark Plug,Ignition,AutoGen_8,4344.29,01/24/2025,Hydraulic issue,Breakdown,114.83,537.37,23215.85,41519.33,,Minor Service
KTCB 550H,Tractor,TS 6000,Air Filter,Air Intake,AutoGen_1,9019.18,06/03/2025,Reduced air intake,Emergency,212.69,831.82,20942.49,42596.88,,Minor Service
KTCB 918A,Tractor,TS 6110,Radiator,Cooling System,AutoGen_10,1631.51,04/26/2025,Overheating,Preventive,301.9,1352.56,21250.67,38667.11,,Minor Service
KTCB 601D,Tractor,TT 490,Oil Filter,Engine,JKT,12986.85,12/08/2024,Oil leakage,Emergency,300.36,1487.17,10062.86,39866.21,,Minor Service
KTCC 882F,Tractor,TT 490,Hydraulic Pump,Hydraulics,AutoGen_6,4040.39,01/25/2025,Low pressure,Preventive,56.08,170.57,9182.67,22182.15,,Minor Service
KTCB 778C,Tractor,TS 6000,Fuel Pump,Fuel System,AutoGen_5,11251.74,08/23/2024,Overheating,Emergency,90.45,404.08,15186.42,41568.61,,Minor Service
KTCA 872A,Tractor,TS 6110,Alternator,Electrical,AutoGen_6,10924.65,10/21/2024,No power output,Emergency,161.05,585.6,15186.28,38580.2,,Minor Service
KTCA 815C,Tractor,TS 6000,Spark Plug,Ignition,AutoGen_5,8487.98,02/04/2025,Engine noise,Emergency,269.92,1348.95,21796.68,44395.46,,Major Service
KTCC 950G,Tractor,TT 490,Spark Plug,Ignition,AutoGen_6,5463.54,11/21/2024,Low power,Emergency,183.05,724.84,19230.97,37433.96,,Minor Service
KTCB 694B,Tractor,TS 6110,Tyre,Wheels,JKT,10041.73,07/26/2024,Tyre burst,Preventive,132.68,613.96,9572.26,39613.05,,Minor Service
KTCC 647E,Tractor,TS 6000,Battery,Electrical,AutoGen_4,14339.55,07/07/2024,Low voltage,Breakdown,350.19,1698.51,18948.29,49540.0,,Minor Service
KTCC 907D,Tractor,TS 6000,Hydraulic Pump,Hydraulics,AutoGen_2,12254.01,04/12/2024,Hydraulic issue,Breakdown,607.75,1980.92,14001.08,32827.44,,Minor Service
KTCC 764C,Tractor,TS 6000,Spark Plug,Ignition,AutoGen_6,3411.69,12/22/2024,Low power,Corrective,310.26,1292.89,11356.88,23682.96,,Minor Service
KTCC 720F,Tractor,TS 6000,Battery,Electrical,AutoGen_10,8488.52,07/02/2025,Won't start,Preventive,548.68,1957.7,26134.98,49055.18,,Minor Service
KTCC 441H,Tractor,TS 6110,Fuel Pump,Fuel System,AutoGen_9,7864.56,06/12/2024,Low power,Emergency,277.64,1025.53,25129.27,49373.82,,Minor Service
KTCA 331G,Tractor,TS 6110,Oil Filter,Engine,JKT,4827.91,03/10/2024,Oil leakage,Breakdown,153.28,539.29,7865.01,24157.57,,Minor Service
KTCC 266E,Tractor,TT 490,Oil Filter,Engine,AutoGen_4,6633.8,02/06/2025,Oil leakage,Preventive,295.85,1344.77,20279.42,41416.67,,Minor Service
KTCC 924C,Tractor,TS 6110,Spark Plug,Ignition,AutoGen_3,10118.31,09/03/2025,Engine noise,Breakdown,226.65,1093.11,6294.9,34938.22,,Major Service
KTCC 392G,Tractor,TS 6110,Oil Filter,Engine,JKT,8813.64,07/14/2024,Oil leakage,Breakdown,285.39,1053.52,26154.75,50700.78,,Minor Service
KTCB 908E,Tractor,TT 490,Fuel Pump,Fuel System,AutoGen_2,8164.15,02/22/2025,Low power,Emergency,339.43,1429.44,18920.6,35964.64,,Minor Service
KTCC 669G,Tractor,TS 6000,Alternator,Electrical,AutoGen_7,2849.67,12/25/2024,Overcharging,Emergency,127.1,417.04,7297.29,19729.87,,Minor Service
KTCA 608G,Tractor,TT 490,Radiator,Cooling System,AutoGen_2,14379.25,10/21/2024,Overheating,Emergency,126.57,582.25,6922.4,35528.42,,Minor Service
KTCB 866D,Tractor,TS 6110,Tyre,Wheels,JKT,14661.28,10/04/2025,New tyre,Emergency,180.19,706.44,7026.04,30235.48,,Minor Service
KTCB 770D,Tractor,TS 6000,Battery,Electrical,AutoGen_9,7542.45,08/17/2024,Won't start,Breakdown,387.94,1651.87,24979.34,46271.36,,Minor Service
KTCB 984D,Tractor,TS 6000,Alternator,Electrical,AutoGen_7,11096.12,07/10/2024,Electrical failure,Emergency,46.85,200.58,5331.5,26129.96,,Minor Service
KTCC 748A,Tractor,TS 6110,Oil Filter,Engine,AutoGen_2,14668.75,10/19/2024,Oil leakage,Emergency,151.22,609.17,18431.29,45997.73,,Minor Service
KTCC 280B,Tractor,TT 490,Tyre,Wheels,JKT,6757.99,01/08/2024,New tyre,Corrective,374.9,1432.25,24834.62,44072.93,,Minor Service
KTCC 302B,Tractor,TS 6000,Air Filter,Air Intake,AutoGen_7,10380.11,10/03/2025,Clogged filter,Preventive,359.67,1086.39,18135.93,38300.99,,Minor Service
KTCC 933F,Tractor,TS 6110,Brake Pads,Braking System,AutoGen_5,7876.85,03/16/2025,Hydraulic issue,Breakdown,121.95,446.68,27161.83,46560.8,,Minor Service
KTCB 108B,Tractor,TS 6110,Brake Pads,Braking System,AutoGen_6,6937.27,05/03/2025,Engine noise,Breakdown,96.62,325.83,7386.36,24214.89,,Major Service
KTCA 189E,Tractor,TT 490,Fuel Pump,Fuel System,AutoGen_6,6908.01,12/30/2024,Overheating,Preventive,422.47,1698.02,12944.73,26521.24,,Minor Service
KTCB 308A,Tractor,TT 490,Tyre,Wheels,JKT,7108.13,05/02/2025,Tyre burst,Preventive,81.85,287.67,25775.67,38743.22,,Minor Service
KTCB 202C,Tractor,TS 6110,Oil Filter,Engine,AutoGen_1,2657.83,03/16/2025,Oil leakage,Preventive,350.06,1606.44,22910.4,41837.86,,Minor Service
KTCC 525E,Tractor,TS 6000,Alternator,Electrical,AutoGen_7,11383.83,07/11/2024,No power output,Breakdown,166.11,809.11,6178.85,23339.36,,Minor Service
KTCC 823A,Tractor,TS 6000,Radiator,Cooling System,AutoGen_4,8797.98,07/27/2024,Coolant leakage,Preventive,37.59,164.81,13952.78,41065.73,,Minor Service
KTCB 651D,Tractor,TS 6000,Radiator,Cooling System,AutoGen_2,5023.83,05/14/2025,Overheating,Breakdown,193.03,603.95,19825.0,35462.03,,Minor Service
KTCA 127G,Tractor,TS 6110,Battery,Electrical,AutoGen_10,2028.27,02/15/2025,Low voltage,Breakdown,265.98,1221.19,19449.59,28500.6,,Minor Service
KTCA 318G,Tractor,TT 490,Brake Pads,Braking System,AutoGen_8,12669.31,05/05/2025,Low power,Corrective,503.05,1691.59,8044.3,33540.17,,Minor Service
KTCB 182H,Tractor,TS 6110,Tyre,Wheels,JKT,5094.98,03/22/2025,Tyre burst,Preventive,343.61,1419.46,24064.7,38511.78,,Minor Service
KTCB 856E,Tractor,TS 6000,Air Filter,Air Intake,AutoGen_2,9523.53,06/23/2024,Reduced air intake,Emergency,291.98,1246.44,11044.45,29560.2,,Minor Service
KTCB 409H,Tractor,TT 490,Brake Pads,Braking System,AutoGen_10,6739.55,08/05/2025,Hydraulic issue,Preventive,135.84,526.91,24205.78,36044.46,,Minor Service
KTCC 530A,Tractor,TS 6110,Battery,Electrical,AutoGen_3,4248.39,12/14/2024,Won't start,Breakdown,238.75,764.94,22148.52,44012.26,,Minor Service
KTCB 944G,Tractor,TT 490,Oil Filter,Engine,AutoGen_10,3582.57,02/19/2025,Reduced engine performance,Emergency,368.15,1712.45,26294.83,45730.02,,Major Service
KTCB 168H,Tractor,TS 6000,Hydraulic Pump,Hydraulics,AutoGen_9,11655.26,06/18/2025,Fluid leakage,Preventive,135.44,431.08,5810.24,26386.34,,Minor Service
KTCA 689B,Tractor,TS 6110,Spark Plug,Ignition,AutoGen_2,6295.13,11/23/2024,Engine noise,Corrective,273.11,1187.39,21781.33,34288.89,,Major Service
KTCB 559H,Tractor,TT 490,Air Filter,Air Intake,AutoGen_10,8846.27,06/25/2024,Clogged filter,Emergency,341.51,1124.61,15169.53,29056.87,,Minor Service
KTCC 143A,Tractor,TS 6110,Fuel Pump,Fuel System,AutoGen_7,9637.28,09/18/2024,Hydraulic issue,Breakdown,324.86,1426.21,23912.5,49864.87,,Minor Service
KTCA 401H,Tractor,TS 6110,Tyre,Wheels,JKT,6407.84,01/24/2025,Tyre burst,Preventive,81.22,386.36,6708.19,18773.54,,Minor Service
KTCB 676B,Tractor,TT 490,Oil Filter,Engine,AutoGen_2,10223.26,04/10/2024,Reduced engine performance,Emergency,60.62,230.43,6134.25,23946.45,,Major Service
KTCB 344B,Tractor,TS 6000,Alternator,Electrical,AutoGen_9,1990.72,12/20/2024,Overcharging,Preventive,244.55,867.66,21029.46,37827.78,,Minor Service
KTCB 494D,Tractor,TT 490,Spark Plug,Ignition,AutoGen_3,9798.7,07/23/2024,Overheating,Emergency,302.98,1489.61,13001.63,30478.88,,Minor Service
KTCC 691F,Tractor,TT 490,Fuel Pump,Fuel System,AutoGen_5,2379.77,11/18/2024,Overheating,Corrective,450.26,1889.08,23688.88,41527.44,,Minor Service
KTCA 645G,Tractor,TS 6110,Hydraulic Pump,Hydraulics,AutoGen_8,4972.1,01/30/2025,Hydraulic issue,Emergency,128.52,524.67,5829.57,20519.21,,Minor Service
KTCB 822D,Tractor,TS 6000,Alternator,Electrical,AutoGen_2,8219.84,01/07/2024,No power output,Emergency,460.48,1902.66,16447.09,37691.24,,Minor Service
KTCB 569F,Tractor,TS 6000,Hydraulic Pump,Hydraulics,AutoGen_8,11055.2,08/20/2024,Low pressure,Corrective,245.01,936.76,22193.56,50952.69,,Minor Service
KTCA 481C,Tractor,TT 490,Spark Plug,Ignition,AutoGen_5,14182.84,07/28/2024,Low power,Emergency,237.27,856.93,27768.86,51312.53,,Minor Service
KTCB 215A,Tractor,TS 6000,Battery,Electrical,AutoGen_2,14164.5,05/17/2025,Battery issue,Breakdown,59.89,230.95,20980.63,45965.51,,Minor Service
KTCC 740F,Tractor,TS 6000,Hydraulic Pump,Hydraulics,AutoGen_7,3038.33,07/08/2024,Low pressure,Breakdown,634.05,1923.29,24274.41,40528.85,,Minor Service
KTCC 808E,Tractor,TS 6110,Radiator,Cooling System,AutoGen_9,8733.93,03/18/2025,Overheating,Emergency,259.74,903.28,9470.48,35097.06,,Minor Service
KTCA 698D,Tractor,TS 6110,Fuel Pump,Fuel System,AutoGen_2,8382.2,08/25/2024,Overheating,Preventive,385.86,1281.29,23392.64,37312.14,,Minor Service
KTCC 396B,Tractor,TT 490,Alternator,Electrical,AutoGen_3,10452.31,10/07/2024,Overcharging,Emergency,94.09,444.18,11678.12,28239.53,,Minor Service
KTCA 640G,Tractor,TT 490,Radiator,Cooling System,AutoGen_1,9781.63,06/21/2024,Coolant leakage,Preventive,220.23,1078.45,11183.9,31102.97,,Minor Service
KTCC 372C,Tractor,TT 490,Battery,Electrical,AutoGen_6,5487.14,12/20/2024,Battery issue,Corrective,393.03,1829.66,16645.96,39548.71,,Minor Service
KTCA 212D,Tractor,TS 6000,Air Filter,Air Intake,AutoGen_7,1544.84,05/06/2025,Clogged filter,Emergency,26.35,107.49,17068.03,38207.37,,Minor Service
KTCC 815B,Tractor,TS 6110,Hydraulic Pump,Hydraulics,AutoGen_9,12818.57,07/13/2024,Fluid leakage,Breakdown,435.3,1878.38,5560.04,23504.41,,Minor Service
KTCB 421C,Tractor,TS 6110,Brake Pads,Braking System,JKT,9529.78,10/24/2024,Low power,Preventive,354.06,1630.46,25650.41,51090.42,,Minor Service
KTCA 372E,Tractor,TS 6000,Battery,Electrical,AutoGen_5,2421.82,02/05/2025,Low voltage,Corrective,269.07,1313.8,10082.33,18924.67,,Minor Service
KTCC 963H,Tractor,TS 6000,Alternator,Electrical,AutoGen_8,12265.72,08/27/2024,Overcharging,Breakdown,371.11,1119.49,29335.52,58834.14,,Minor Service
KTCB 397H,Tractor,TT 490,Battery,Electrical,AutoGen_3,12644.79,07/23/2024,Low voltage,Preventive,324.93,1351.17,27031.1,53411.97,,Minor Service
KTCB 476E,Tractor,TS 6000,Oil Filter,Engine,AutoGen_3,10488.22,10/22/2024,Reduced engine performance,Corrective,113.92,533.38,23706.17,41478.12,,Major Service
KTCB 803H,Tractor,TS 6110,Air Filter,Air Intake,AutoGen_3,13318.97,03/22/2025,Clogged filter,Corrective,382.98,1445.53,27084.58,50441.96,,Minor Service
KTCC 554B,Tractor,TS 6110,Air Filter,Air Intake,AutoGen_5,8557.27,05/12/2024,Clogged filter,Corrective,78.85,392.23,18361.9,33879.85,,Minor Service
KTCC 957A,Tractor,TT 490,Alternator,Electrical,AutoGen_10,13164.58,04/05/2025,Electrical failure,Preventive,189.59,885.41,8882.48,30369.13,,Minor Service
KTCA 258A,Tractor,TT 490,Battery,Electrical,AutoGen_2,11924.64,11/01/2025,Battery issue,Preventive,163.92,598.58,29261.01,53168.56,,Minor Service
KTCB 138D,Tractor,TT 490,Oil Filter,Engine,AutoGen_5,11347.31,04/12/2024,Oil leakage,Corrective,136.8,652.84,12720.18,39590.43,,Minor Service
KTCA 857B,Tractor,TS 6110,Tyre,Wheels,JKT,3060.09,07/26/2024,New tyre,Preventive,303.4,1510.81,20412.79,29925.51,,Minor Service
KTCA 865G,Tractor,TS 6000,Radiator,Cooling System,AutoGen_2,12765.54,11/09/2024,Coolant leakage,Corrective,431.05,1984.17,9740.91,36821.15,,Minor Service
KTCC 447E,Tractor,TT 490,Fuel Pump,Fuel System,AutoGen_8,12189.04,06/22/2024,Low power,Preventive,207.24,717.32,16708.82,44434.12,,Minor Service
KTCB 289A,Tractor,TS 6000,Battery,Electrical,AutoGen_7,7162.99,01/04/2025,Low voltage,Preventive,355.77,1737.56,17798.01,39205.7,,Minor Service
KTCC 146D,Tractor,TS 6000,Fuel Pump,Fuel System,AutoGen_6,13785.78,07/19/2024,Hydraulic issue,Preventive,287.9,1284.25,13726.17,39364.7,,Minor Service
KTCC 985G,Tractor,TS 6110,Fuel Pump,Fuel System,AutoGen_5,12870.39,11/12/2024,Low power,Preventive,56.71,228.16,13421.38,40275.0,,Minor Service
KTCA 346C,Tractor,TT 490,Battery,Electrical,AutoGen_2,5291.88,07/29/2024,Low voltage,Breakdown,218.76,893.91,18467.1,34196.16,,Minor Service
KTCB 308A,Tractor,TS 6110,Battery,Electrical,AutoGen_4,4422.25,11/25/2024,Battery issue,Breakdown,369.56,1286.0,19692.03,37874.41,,Minor Service
KTCB 104E,Tractor,TS 6110,Brake Pads,Braking System,AutoGen_10,2843.8,09/05/2025,Engine noise,Emergency,65.14,305.17,7597.46,22590.2,,Major Service
KTCC 329E,Tractor,TS 6000,Brake Pads,Braking System,AutoGen_6,14826.46,08/05/2025,Engine noise,Breakdown,308.14,1222.62,7523.2,36720.53,,Major Service
KTCB 414A,Tractor,TT 490,Fuel Pump,Fuel System,AutoGen_6,6800.73,10/08/2024,Hydraulic issue,Emergency,523.37,1793.72,25640.32,43639.15,,Minor Service
KTCC 120G,Tractor,TS 6000,Brake Pads,Braking System,AutoGen_5,10861.97,11/29/2024,Hydraulic issue,Preventive,356.45,1319.24,25648.43,48746.5,,Minor Service
KTCB 838D,Tractor,TT 490,Oil Filter,Engine,AutoGen_5,12300.69,06/16/2025,Oil leakage,Breakdown,121.02,466.56,14483.9,33513.28,,Minor Service
KTCB 826F,Tractor,TT 490,Hydraulic Pump,Hydraulics,JKT,5117.83,08/01/2025,Fluid leakage,Preventive,216.8,975.36,11678.36,32523.1,,Minor Service
KTCB 883F,Tractor,TS 6110,Air Filter,Air Intake,AutoGen_5,5295.84,03/03/2025,Reduced air intake,Corrective,103.8,487.29,12174.0,29923.95,,Minor Service
KTCA 266C,Tractor,TS 6110,Battery,Electrical,AutoGen_7,1939.62,03/12/2024,Low voltage,Corrective,496.56,1575.73,14191.85,26931.24,,Minor Service
KTCA 511D,Tractor,TT 490,Brake Pads,Braking System,AutoGen_7,14426.01,04/02/2025,Hydraulic issue,Breakdown,285.45,972.9,20373.74,41946.48,,Minor Service
KTCA 300H,Tractor,TS 6000,Spark Plug,Ignition,AutoGen_3,14060.69,02/13/2025,Low power,Corrective,617.74,1864.54,25544.25,59024.93,,Minor Service
KTCA 885F,Tractor,TS 6110,Fuel Pump,Fuel System,AutoGen_9,9364.85,01/20/2025,Engine noise,Preventive,168.25,787.11,12952.76,34433.66,,Major Service
KTCC 655C,Tractor,TS 6000,Air Filter,Air Intake,JKT,9597.51,05/08/2024,Reduced air intake,Breakdown,339.22,1492.64,15495.27,30995.5,,Minor Service
KTCC 134C,Tractor,TS 6110,Battery,Electrical,AutoGen_6,7824.32,04/12/2024,Battery issue,Preventive,339.91,1084.12,29446.96,44645.52,,Minor Service
KTCA 209E,Tractor,TS 6000,Tyre,Wheels,JKT,12588.77,02/20/2025,Tyre burst,Corrective,200.41,813.55,17270.67,35443.78,,Minor Service
KTCB 304E,Tractor,TS 6000,Fuel Pump,Fuel System,AutoGen_6,6546.55,03/09/2024,Hydraulic issue,Breakdown,121.35,450.33,19510.44,39439.09,,Minor Service
KTCB 674B,Tractor,TS 6110,Spark Plug,Ignition,AutoGen_5,4925.36,06/07/2024,Engine noise,Emergency,270.97,919.49,9555.1,23011.67,,Major Service
KTCB 329E,Tractor,TS 6110,Tyre,Wheels,JKT,12843.73,04/01/2025,Tyre burst,Emergency,294.13,1133.65,5072.7,23036.11,,Minor Service
KTCB 540F,Tractor,TS 6110,Battery,Electrical,AutoGen_5,14699.68,11/14/2024,Won't start,Emergency,378.09,1707.1,10892.61,37535.3,,Minor Service
KTCA 893H,Tractor,TS 6000,Battery,Electrical,AutoGen_2,10547.63,03/02/2025,Low voltage,Corrective,123.28,474.68,7190.7,32868.94,,Minor Service
KTCA 274A,Tractor,TT 490,Air Filter,Air Intake,AutoGen_5,14448.97,01/17/2025,Clogged filter,Breakdown,264.03,839.88,6174.26,35304.87,,Minor Service
KTCB 688D,Tractor,TS 6110,Fuel Pump,Fuel System,AutoGen_9,3124.17,02/27/2025,Engine noise,Corrective,205.42,1008.64,11176.33,31227.45,,Major Service
KTCC 225G,Tractor,TT 490,Fuel Pump,Fuel System,JKT,8373.87,06/02/2025,Low power,Corrective,213.77,662.2,25281.07,50156.34,,Minor Service
KTCA 555A,Tractor,TS 6110,Air Filter,Air Intake,JKT,1693.51,06/23/2024,Reduced air intake,Emergency,198.0,601.58,9406.2,24821.86,,Minor Service
KTCC 281F,Tractor,TT 490,Air Filter,Air Intake,AutoGen_5,11695.05,06/30/2024,Reduced air intake,Preventive,102.86,464.65,29425.97,56507.79,,Minor Service
KTCB 511A,Tractor,TS 6000,Air Filter,Air Intake,AutoGen_10,1932.8,07/09/2024,Reduced air intake,Breakdown,340.64,1086.76,25352.49,43501.92,,Minor Service
KTCA 423F,Tractor,TT 490,Hydraulic Pump,Hydraulics,AutoGen_5,11999.34,05/09/2024,Hydraulic issue,Emergency,62.78,249.53,13320.5,33169.49,,Minor Service
KTCA 193A,Tractor,TS 6110,Brake Pads,Braking System,AutoGen_10,6313.71,01/31/2025,Hydraulic issue,Breakdown,553.71,1857.38,29920.83,55822.9,,Minor Service
KTCA 853F,Tractor,TS 6110,Fuel Pump,Fuel System,AutoGen_10,2929.91,04/15/2025,Low power,Preventive,88.32,348.42,10095.71,19955.66,,Minor Service
KTCA 100G,Tractor,TT 490,Radiator,Cooling System,AutoGen_4,1771.54,04/18/2025,Coolant leakage,Breakdown,595.72,1990.5,16238.04,33210.44,,Minor Service
KTCA 828A,Tractor,TT 490,Hydraulic Pump,Hydraulics,AutoGen_7,10227.67,07/26/2024,Hydraulic issue,Corrective,156.25,747.12,14384.28,35779.58,,Minor Service
KTCB 450G,Tractor,TS 6110,Air Filter,Air Intake,AutoGen_1,12285.08,05/31/2025,Clogged filter,Breakdown,199.78,934.05,23496.45,45539.93,,Minor Service
KTCC 935D,Tractor,TT 490,Alternator,Electrical,AutoGen_3,3583.69,12/19/2024,Electrical failure,Breakdown,105.54,414.69,17624.03,34359.03,,Minor Service
